App,Category,Rating,Reviews,Installs,Type,Content Rating,Reviews_log,Installs_log,Rating_normalized,Reviews_normalized,Installs_normalized,popularity_score
Messenger – Text and Video Chat for Free,COMMUNICATION,4.0,56642847,1000000000,Free,Everyone,17.852276288571492,20.72326583794641,0.75,0.9822842389077353,1.0,0.91076
WhatsApp Messenger,COMMUNICATION,4.4,69119316,1000000000,Free,Everyone,18.051344801045513,20.72326583794641,0.8500000000000001,0.9932375682818285,1.0,0.94775
Messenger for SMS,COMMUNICATION,4.3,125257,10000000,Free,Teen,11.738130889162855,16.118095750958314,0.825,0.6458661506399607,0.7777777825657402,0.74955
Google Chrome: Fast & Secure,COMMUNICATION,4.3,9642995,1000000000,Free,Everyone,16.081742406683766,20.72326583794641,0.825,0.8848643077730257,1.0,0.90329
Messenger Lite: Free Calls & Messages,COMMUNICATION,4.4,1429035,100000000,Free,Everyone,14.172510649036948,18.420680753952364,0.8500000000000001,0.7798128155350771,0.888888889328545,0.83957
Gmail,COMMUNICATION,4.3,4604324,1000000000,Free,Everyone,15.342506637123115,20.72326583794641,0.825,0.8441894025935047,1.0,0.88973
Hangouts,COMMUNICATION,4.0,3419249,1000000000,Free,Everyone,15.044931786743797,20.72326583794641,0.75,0.8278159675929465,1.0,0.85927
Viber Messenger,COMMUNICATION,4.3,11334799,500000000,Free,Everyone,16.24338819730405,20.030118658386467,0.825,0.893758529991272,0.9665522227538711,0.8951
My Tele2,COMMUNICATION,4.3,158679,5000000,Free,Everyone,11.974644874628266,15.424948670398354,0.825,0.6588798390037608,0.7443300100968498,0.74274
Firefox Browser fast & private,COMMUNICATION,4.4,3075028,100000000,Free,Everyone,14.938824890072594,18.420680753952364,0.8500000000000001,0.8219776570853806,0.888888889328545,0.85362
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,4187998,100000000,Free,Everyone,15.247733612195077,18.420680753952364,0.825,0.8389747147208989,0.888888889328545,0.85095
imo beta free calls and text,COMMUNICATION,4.3,659395,100000000,Free,Everyone,13.399079543480653,18.420680753952364,0.825,0.7372563833698809,0.888888889328545,0.81705
imo free video calls and chat,COMMUNICATION,4.3,4785892,500000000,Free,Everyone,15.38118319032632,20.030118658386467,0.825,0.8463174992021767,0.9665522227538711,0.87929
Contacts,COMMUNICATION,4.3,66602,50000000,Free,Everyone,11.106504900559028,17.72753358339242,0.825,0.6111122490387827,0.8554411125167106,0.76385
Call Free – Free Call,COMMUNICATION,4.3,30209,5000000,Free,Everyone,10.315928274380717,15.424948670398354,0.825,0.5676124203899876,0.7443300100968498,0.71231
Web Browser & Explorer,COMMUNICATION,4.0,36901,5000000,Free,Everyone,10.516021029101827,15.424948670398354,0.75,0.5786221065557794,0.7443300100968498,0.69098
Opera Mini - fast web browser,COMMUNICATION,4.5,5149854,100000000,Free,Everyone,15.454479116903745,18.420680753952364,0.875,0.8503504545681674,0.888888889328545,0.87141
Browser 4G,COMMUNICATION,4.3,192948,10000000,Free,Everyone,12.17018118426252,16.118095750958314,0.825,0.6696388162895239,0.7777777825657402,0.75747
MegaFon Dashboard,COMMUNICATION,3.7,99559,10000000,Free,Everyone,11.508515756481529,16.118095750958314,0.675,0.6332320572503147,0.7777777825657402,0.69534
ZenUI Dialer & Contacts,COMMUNICATION,4.5,437674,10000000,Free,Everyone,12.989231904801134,16.118095750958314,0.875,0.7147053725452183,0.7777777825657402,0.78916
Cricket Visual Voicemail,COMMUNICATION,3.9,13698,10000000,Free,Everyone,9.52507811645139,16.118095750958314,0.725,0.5240975412275481,0.7777777825657402,0.67563
Opera Browser: Fast and Secure,COMMUNICATION,4.4,2473509,100000000,Free,Everyone,14.721148752495983,18.420680753952364,0.8500000000000001,0.8100004819805624,0.888888889328545,0.84963
TracFone My Account,COMMUNICATION,3.6,20769,1000000,Free,Everyone,9.941264916870159,13.815511557963774,0.65,0.5469973511948915,0.666666714889415,0.62122
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,1000000,Free,Everyone,10.515451792270389,13.815511557963774,0.8500000000000001,0.5785907854873235,0.666666714889415,0.69842
Google Voice,COMMUNICATION,4.2,171031,10000000,Free,Everyone,12.049605952480244,16.118095750958314,0.8,0.6630044158428875,0.7777777825657402,0.74693
Chrome Dev,COMMUNICATION,4.4,63543,5000000,Free,Everyone,11.059487858312968,15.424948670398354,0.8500000000000001,0.6085252344300109,0.7443300100968498,0.73429
Xperia Link™,COMMUNICATION,4.1,45487,10000000,Free,Everyone,10.725203833890781,16.118095750958314,0.7749999999999999,0.590131953752478,0.7777777825657402,0.7143
TouchPal Keyboard - Fun Emoji & Android Keyboard,COMMUNICATION,4.4,615381,10000000,Free,Mature 17+,13.329998492173543,16.118095750958314,0.8500000000000001,0.7334553427177378,0.7777777825657402,0.78708
Who,COMMUNICATION,4.3,2451083,100000000,Free,Teen,14.712040933648813,18.420680753952364,0.825,0.8094993432596628,0.888888889328545,0.84113
Skype Lite - Free Video Call & Chat,COMMUNICATION,4.2,33053,5000000,Free,Everyone,10.405897866700771,15.424948670398354,0.8,0.5725628094097631,0.7443300100968498,0.70563
WeChat,COMMUNICATION,4.2,5387333,100000000,Free,Everyone,15.499561200854474,18.420680753952364,0.8,0.8528310021356653,0.888888889328545,0.84724
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648120,100000000,Free,Teen,15.109722798485933,18.420680753952364,0.8500000000000001,0.8313809577728223,0.888888889328545,0.85676
WhatsApp Business,COMMUNICATION,4.4,136662,10000000,Free,Everyone,11.825273320384177,16.118095750958314,0.8500000000000001,0.6506609810215409,0.7777777825657402,0.75948
My magenta,COMMUNICATION,3.9,42370,1000000,Free,Everyone,10.654219444947001,13.815511557963774,0.725,0.5862261859198006,0.666666714889415,0.6593
Android Messages,COMMUNICATION,4.2,781810,100000000,Free,Everyone,13.569368302336661,18.420680753952364,0.8,0.746626166874436,0.888888889328545,0.81184
Telegram,COMMUNICATION,4.4,3128250,100000000,Free,Mature 17+,14.955984620394796,18.420680753952364,0.8500000000000001,0.8229218354280717,0.888888889328545,0.85394
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237,500000000,Free,Everyone,14.549433971997454,20.030118658386467,0.8999999999999999,0.8005522346117276,0.9665522227538711,0.88903
Puffin Web Browser,COMMUNICATION,4.3,541389,10000000,Free,Everyone,13.201895185360058,16.118095750958314,0.825,0.7264067256562036,0.7777777825657402,0.77639
Seznam.cz,COMMUNICATION,4.3,46702,1000000,Free,Everyone,10.751563681422393,13.815511557963774,0.825,0.5915823493407923,0.666666714889415,0.69442
Antillean Gold Telegram (original version),COMMUNICATION,4.4,2939,100000,Free,Everyone,7.986164860332727,11.51293546492023,0.8500000000000001,0.43942205155348013,0.5555560380757588,0.61499
AT&T Visual Voicemail,COMMUNICATION,3.7,13761,10000000,Free,Everyone,9.529666449762425,16.118095750958314,0.675,0.5243500046905504,0.7777777825657402,0.65904
GMX Mail,COMMUNICATION,4.3,258556,10000000,Free,Everyone,12.462871451524784,16.118095750958314,0.825,0.6857434872998794,0.7777777825657402,0.76284
Omlet Chat,COMMUNICATION,3.9,40751,10000000,Free,Teen,10.615260197219238,16.118095750958314,0.725,0.5840825346349959,0.7777777825657402,0.69562
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17712922,500000000,Free,Teen,16.68980504413558,20.030118658386467,0.875,0.9183216851619221,0.9665522227538711,0.91996
My Vodacom SA,COMMUNICATION,3.7,25021,5000000,Free,Everyone,10.127510716877346,15.424948670398354,0.675,0.5572451375809301,0.7443300100968498,0.65886
Microsoft Edge,COMMUNICATION,4.3,27187,5000000,Free,Everyone,10.21053097846653,15.424948670398354,0.825,0.5618131541828946,0.7443300100968498,0.71038
WhatsApp Messenger,COMMUNICATION,4.4,69119316,1000000000,Free,Everyone,18.051344801045513,20.72326583794641,0.8500000000000001,0.9932375682818285,1.0,0.94775
Messenger – Text and Video Chat for Free,COMMUNICATION,4.0,56646578,1000000000,Free,Everyone,17.852342155265326,20.72326583794641,0.75,0.982287863085077,1.0,0.91076
imo free video calls and chat,COMMUNICATION,4.3,4785988,500000000,Free,Everyone,15.381203249077569,20.030118658386467,0.825,0.8463186028930946,0.9665522227538711,0.87929
Hangouts Dialer - Call Phones,COMMUNICATION,4.0,122498,10000000,Free,Everyone,11.715858145668292,16.118095750958314,0.75,0.6446406394200862,0.7777777825657402,0.72414
Viber Messenger,COMMUNICATION,4.3,11334973,500000000,Free,Everyone,16.243403548140808,20.030118658386467,0.825,0.8937593746390222,0.9665522227538711,0.8951
Hangouts,COMMUNICATION,4.0,3419433,1000000000,Free,Everyone,15.044985598266612,20.72326583794641,0.75,0.8278189284596661,1.0,0.85927
"Talkatone: Free Texts, Calls & Phone Number",COMMUNICATION,4.1,132014,10000000,Free,Everyone,11.790670831476021,16.118095750958314,0.7749999999999999,0.6487570512967236,0.7777777825657402,0.73384
Calls & Text by Mo+,COMMUNICATION,4.2,83239,5000000,Free,Everyone,11.32948328050757,15.424948670398354,0.8,0.6233811689625042,0.7443300100968498,0.72257
free video calls and chat,COMMUNICATION,4.2,594728,50000000,Free,Everyone,13.295861118588487,17.72753358339242,0.8,0.7315770049927177,0.8554411125167106,0.79567
WeChat,COMMUNICATION,4.2,5387446,100000000,Free,Everyone,15.499582175758745,18.420680753952364,0.8,0.852832156235991,0.888888889328545,0.84724
