App,Category,Rating,Reviews,Installs,Type,Content Rating,Reviews_log,Installs_log,Rating_normalized,Reviews_normalized,Installs_normalized,popularity_score
eBay: Buy & Sell this Summer - Discover Deals Now!,SHOPPING,4.4,2788923,100000000,Free,Teen,14.841166416327978,18.420680753952364,0.8500000000000001,0.8166042034145716,0.888888889328545,0.85183
Fishdom,GAME,4.6,2157930,10000000,Free,Everyone,14.58466045023899,16.118095750958314,0.8999999999999999,0.8024904980471327,0.7777777825657402,0.82676
TEKKEN™,GAME,4.2,147791,5000000,Free,Teen,11.90356115883239,15.424948670398354,0.8,0.6549686059183762,0.7443300100968498,0.7331
MeetMe: Chat & Meet New People,SOCIAL,4.2,1259894,50000000,Free,Mature 17+,14.046538942121911,17.72753358339242,0.8,0.7728814853085694,0.8554411125167106,0.80944
BF Frontline City,GAME,4.1,29798,1000000,Free,Mature 17+,10.302230114883466,13.815511557963774,0.7749999999999999,0.5668587077564448,0.666666714889415,0.66951
Photo Studio,PHOTOGRAPHY,4.2,477831,10000000,Free,Everyone,13.077014485260346,16.118095750958314,0.8,0.7195354258024006,0.7777777825657402,0.76577
Mass Effect: Andromeda APEX HQ,GAME,3.4,4490,100000,Free,Everyone 10+,8.409830673087738,11.51293546492023,0.6,0.4627333785633414,0.5555560380757588,0.53943
Hungry Shark World,GAME,4.5,1243017,50000000,Free,Teen,14.033052851482124,17.72753358339242,0.875,0.7721394413212475,0.8554411125167106,0.83419
Home Decor Showpiece Art making: Medium Difficulty,HOUSE_AND_HOME,4.3,273,50000,Free,Everyone,5.613128106388071,10.819798284210286,0.825,0.3088506575155755,0.5221087433235612,0.55199
Bukalapak - Buy and Sell Online,SHOPPING,4.4,662287,10000000,Free,Everyone,13.40345578563159,16.118095750958314,0.8500000000000001,0.7374971769595062,0.7777777825657402,0.78842
Au-allstar for KR,GAME,3.6,2433,100000,Free,Everyone,7.797291273547472,11.51293546492023,0.65,0.4290296766850776,0.5555560380757588,0.54486
AI Draw | Art Filter for Selfie,PHOTOGRAPHY,3.0,20,1000,Paid,Everyone,3.044522437723423,6.90875477931522,0.5,0.167518492165123,0.3333815641482814,0.33363
Lumosity: #1 Brain Games & Cognitive Training App,EDUCATION,4.2,215301,10000000,Free,Everyone,12.279796972672989,16.118095750958314,0.8,0.6756701962407728,0.7777777825657402,0.75115
Snap Cat Face Camera,PHOTOGRAPHY,4.0,5855,1000000,Free,Everyone,8.675222055641148,13.815511557963774,0.75,0.4773359854248,0.666666714889415,0.63133
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,10000000,Free,Everyone,11.737931281192244,16.118095750958314,0.8,0.6458551676280286,0.7777777825657402,0.74121
Instant DP Downloader for Instagram,SOCIAL,4.7,38,5000,Free,Everyone,3.6635616461296463,8.517393171418904,0.925,0.2015798324588885,0.41100631715213,0.51253
Fancy,SHOPPING,4.2,39735,5000000,Free,Teen,10.590012856787189,15.424948670398354,0.8,0.5826933524276481,0.7443300100968498,0.70901
Marcus Theatres,ENTERTAINMENT,3.6,2639,100000,Free,Everyone,7.878534196140362,11.51293546492023,0.65,0.4334998989186919,0.5555560380757588,0.54635
Punch em,GAME,4.1,2208,500000,Free,Everyone,7.700295203420117,13.122365377402328,0.7749999999999999,0.423692670390643,0.6332189858499012,0.61064
Google Voice,COMMUNICATION,4.2,171052,10000000,Free,Everyone,12.049728728983316,16.118095750958314,0.8,0.6630111713636919,0.7777777825657402,0.74693
Monument Valley 2,GAME,4.6,9394,100000,Paid,Everyone,9.147932911847564,11.51293546492023,0.8999999999999999,0.5033459135766177,0.5555560380757588,0.65297
Mini Golf King - Multiplayer Game,GAME,4.5,531458,5000000,Free,Everyone,13.183381333619351,15.424948670398354,0.875,0.7253880396089787,0.7443300100968498,0.78157
ColorSnap® Visualizer,HOUSE_AND_HOME,3.4,3280,1000000,Free,Everyone,8.0959035329611,13.815511557963774,0.6,0.4454601929523175,0.666666714889415,0.57071
Hypocam,PHOTOGRAPHY,4.5,12572,1000000,Free,Everyone,9.439306936593182,13.815511557963774,0.875,0.5193781610899478,0.666666714889415,0.68701
Auto Background Changer,PHOTOGRAPHY,4.0,35188,1000000,Free,Everyone,10.46848881274789,13.815511557963774,0.75,0.5760067455670681,0.666666714889415,0.66422
GO Notifier,COMMUNICATION,4.2,124346,10000000,Free,Everyone,11.730831323488175,16.118095750958314,0.8,0.6454645072754279,0.7777777825657402,0.74108
Badoo - Free Chat & Dating App,SOCIAL,4.3,3781770,100000000,Free,Mature 17+,15.145702976393755,18.420680753952364,0.825,0.8333606919591331,0.888888889328545,0.84908
Chat For Strangers - Video Chat,SOCIAL,3.4,622,100000,Free,Mature 17+,6.434546518787453,11.51293546492023,0.6,0.3540474910737173,0.5555560380757588,0.5032
Students.ch,SOCIAL,4.3,5,1000,Free,Teen,1.791759469228055,6.90875477931522,0.825,0.0985878247729741,0.3333815641482814,0.41899
Fast Racing Car Simulator,GAME,3.8,8482,1000000,Free,Everyone,9.045819439807737,13.815511557963774,0.7,0.4977273329237358,0.666666714889415,0.62146
Armed Cam Gun Pack,GAME,4.2,1012,10000,Free,Teen,6.920671504248683,9.210440366976515,0.8,0.3807955036878571,0.4444492696759823,0.54175
QuickPic - Photo Gallery with Google Drive Support,PHOTOGRAPHY,4.6,847159,10000000,Free,Everyone,13.64964485780154,16.118095750958314,0.8999999999999999,0.7510432167739736,0.7777777825657402,0.80961
Whoscall - Caller ID & Block,COMMUNICATION,4.4,552635,10000000,Free,Everyone,13.222454835929312,16.118095750958314,0.8500000000000001,0.72753797751368,0.7777777825657402,0.78511
Helix Jump,GAME,4.2,1485806,100000000,Free,Everyone,14.211468616955402,18.420680753952364,0.8,0.781956396401046,0.888888889328545,0.82362
Mobile Legends: Bang Bang,GAME,4.4,8219586,100000000,Free,Teen,15.922030522461124,18.420680753952364,0.8500000000000001,0.8760764947175785,0.888888889328545,0.87166
BT Messenger,COMMUNICATION,3.9,97,50000,Free,Everyone,4.584967478670572,10.819798284210286,0.725,0.2522782651020142,0.5221087433235612,0.4998
Millionaire : Who want to be?,GAME,4.4,4396,100000,Free,Everyone,8.388677769180811,11.51293546492023,0.8500000000000001,0.4615694841792843,0.5555560380757588,0.62238
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863,10000000,Free,Everyone,12.40845823335987,16.118095750958314,0.8,0.6827495135495483,0.7777777825657402,0.75351
Badoo - Free Chat & Dating App,SOCIAL,4.3,3781770,100000000,Free,Mature 17+,15.145702976393755,18.420680753952364,0.825,0.8333606919591331,0.888888889328545,0.84908
Fu*** Weather (Funny Weather),WEATHER,4.7,20001,1000000,Free,Mature 17+,9.90358754753646,13.815511557963774,0.925,0.544924232592997,0.666666714889415,0.7122
BD Live Call,COMMUNICATION,4.4,7,5000,Free,Everyone,2.079441541679836,8.517393171418904,0.8500000000000001,0.1144169303177164,0.41100631715213,0.45847
Ghouls'n Ghosts MOBILE,GAME,3.9,168,5000,Paid,Everyone 10+,5.1298987149230735,8.517393171418904,0.725,0.282261968916973,0.41100631715213,0.47276
"Jingdong - pick good things, go to Jingdong",SHOPPING,3.3,9189,1000000,Free,Teen,9.125871215349733,13.815511557963774,0.575,0.5021320147772103,0.666666714889415,0.58127
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4.0,29706,1000000,Free,Teen,10.299137987255902,13.815511557963774,0.75,0.5666885698880771,0.666666714889415,0.66112
Amazon Shopping,SHOPPING,4.3,909204,100000000,Free,Teen,13.720325870285484,18.420680753952364,0.825,0.7549322919502001,0.888888889328545,0.82294
Toy Blast,GAME,4.7,1889250,50000000,Free,Everyone,14.4516910121934,17.72753358339242,0.925,0.7951741322718495,0.8554411125167106,0.85854
HD Video Player,VIDEO_PLAYERS,4.3,1551,1000000,Free,Everyone,7.347299700743164,13.815511557963774,0.825,0.404269829679464,0.666666714889415,0.63198
Sabka Malik Ek Sai,SOCIAL,4.2,17,1000,Free,Teen,2.8903717578961645,6.90875477931522,0.8,0.1590366727733762,0.3333815641482814,0.43081
Who,COMMUNICATION,4.3,2451093,100000000,Free,Teen,14.712045013468028,18.420680753952364,0.825,0.8094995677431991,0.888888889328545,0.84113
Waterfall Photo Frames,PHOTOGRAPHY,4.5,10349,1000000,Free,Everyone,9.244741798693514,13.815511557963774,0.875,0.5086726205017091,0.666666714889415,0.68345
DEER HUNTER 2018,GAME,4.3,955656,10000000,Free,Teen,13.770154341043344,16.118095750958314,0.825,0.7576739995444106,0.7777777825657402,0.78682
Two Nights at jumpscare,GAME,3.8,596,100000,Free,Teen,6.391917113392602,11.51293546492023,0.7,0.3517018970241687,0.5555560380757588,0.53575
Etsy: Handmade & Vintage Goods,SHOPPING,4.3,95520,10000000,Free,Teen,11.467101397583354,16.118095750958314,0.825,0.6309533185980237,0.7777777825657402,0.74458
Amazon for Tablets,SHOPPING,4.0,141584,10000000,Free,Teen,11.860655522427155,16.118095750958314,0.75,0.6526078128340709,0.7777777825657402,0.7268
Modern Sniper Strike: Best Commando Action 2k18,GAME,4.1,164,10000,Free,Everyone,5.10594547390058,9.210440366976515,0.7749999999999999,0.2809439918284033,0.4444492696759823,0.50013
CB VIDEO VISION,PHOTOGRAPHY,5.0,13,100,Free,Everyone,2.6390573296152584,4.61512051684126,1.0,0.1452086209372931,0.2227023748539915,0.45597
MARVEL Strike Force,GAME,4.3,165888,5000000,Free,Teen,12.019074168977248,15.424948670398354,0.825,0.66132446818602,0.7443300100968498,0.74355
Photo Editor Pro,PHOTOGRAPHY,4.3,1871421,100000000,Free,Everyone,14.44220912765952,18.420680753952364,0.825,0.7946524113673432,0.888888889328545,0.83618
My Class Schedule: Timetable,EDUCATION,4.1,9348,1000000,Free,Everyone,9.143024664691316,13.815511557963774,0.7749999999999999,0.5030758475220534,0.666666714889415,0.64825
C++ Programming,EDUCATION,4.3,11904,1000000,Free,Everyone,9.384713758920965,13.815511557963774,0.825,0.5163742854433648,0.666666714889415,0.66935
Collage&Add Stickers papelook,PHOTOGRAPHY,4.0,32896,5000000,Free,Everyone,10.401136747185486,15.424948670398354,0.75,0.5723008387465366,0.7443300100968498,0.68888
Adobe Photoshop Express:Photo Editor Collage Maker,PHOTOGRAPHY,4.2,914917,50000000,Free,Everyone,13.726589722755431,17.72753358339242,0.8,0.7552769473575339,0.8554411125167106,0.80357
