App,Category,Rating,Reviews,Installs,Type,Content Rating,Reviews_log,Installs_log,Rating_normalized,Reviews_normalized,Installs_normalized,popularity_score
HD Camera - Quick Snap Photo & Video,PHOTOGRAPHY,4.5,21841,1000000,Free,Everyone,9.991590000757672,13.815511557963774,0.875,0.549766383889958,0.666666714889415,0.69714
Eh Amego!,GAME,3.8,13388,500000,Free,Everyone,9.50218875329738,13.122365377402328,0.7,0.5228381017980109,0.6332189858499012,0.61869
Casino X - Free Online Slots,GAME,4.5,30515,1000000,Free,Teen,10.32600641521012,13.815511557963774,0.875,0.5681669490525623,0.666666714889415,0.70328
My College Bookstore,SHOPPING,3.2,661,100000,Free,Everyone,6.495265555937008,11.51293546492023,0.55,0.3573884293512547,0.5555560380757588,0.48765
MARVEL Avengers Academy,GAME,4.2,304106,10000000,Free,Teen,12.625134892144365,16.118095750958314,0.8,0.694671694420088,0.7777777825657402,0.75748
CL Mobile - Classifieds for Craigslist,SHOPPING,4.4,27275,1000000,Free,Teen,10.213762473640545,13.815511557963774,0.8500000000000001,0.5619909604595973,0.666666714889415,0.69289
Duolingo: Learn Languages Free,EDUCATION,4.7,6290507,100000000,Free,Everyone,15.654552388531515,18.420680753952364,0.925,0.8613590687174161,0.888888889328545,0.89175
Extreme Car Driving Simulator,GAME,4.3,2251012,100000000,Free,Everyone,14.62689089508321,18.420680753952364,0.825,0.8048141401251514,0.888888889328545,0.83957
Morse Code Reader,COMMUNICATION,3.9,1436,100000,Free,Everyone,7.270312886079025,11.51293546492023,0.725,0.4000337909006609,0.5555560380757588,0.5602
NeuroNation - Focus and Brain Training,EDUCATION,4.5,248555,5000000,Free,Everyone,12.423423451243524,15.424948670398354,0.875,0.6835729434260142,0.7443300100968498,0.76763
8 Ball Pool,GAME,4.5,14201891,100000000,Free,Everyone,16.468885753132522,18.420680753952364,0.875,0.9061660623093958,0.888888889328545,0.89002
Meme Creator,ENTERTAINMENT,4.2,38769,1000000,Free,Mature 17+,10.565402030664975,13.815511557963774,0.8,0.5813391930915738,0.666666714889415,0.68267
Family Dollar,SHOPPING,4.3,2588,1000000,Free,Everyone,7.859026979751538,13.815511557963774,0.825,0.4324265550551997,0.666666714889415,0.64136
Car Crash III Beam DH Real Damage Simulator 2018,GAME,3.6,151,10000,Free,Everyone,5.0238805208462765,9.210440366976515,0.65,0.2764285390845114,0.4444492696759823,0.45696
"Hulu: Stream TV, Movies & more",ENTERTAINMENT,4.0,319691,10000000,Free,Teen,12.675113311275348,16.118095750958314,0.75,0.6974216526105357,0.7777777825657402,0.74173
FrostWire: Torrent Downloader & Music Player,VIDEO_PLAYERS,4.1,253207,10000000,Free,Everyone,12.441966564329649,16.118095750958314,0.7749999999999999,0.684593239517692,0.7777777825657402,0.74579
BL Flowers Digital,SHOPPING,5.0,21,100,Free,Everyone,3.091042453358316,4.61512051684126,1.0,0.1700781589220816,0.2227023748539915,0.46426
Creative Destruction,GAME,4.4,201426,5000000,Free,Teen,12.213182311850169,15.424948670398354,0.8500000000000001,0.6720048635768184,0.7443300100968498,0.75544
Wanelo Shopping,SHOPPING,4.6,94205,1000000,Free,Everyone,11.453239152803576,13.815511557963774,0.8999999999999999,0.6301905775143125,0.666666714889415,0.73229
Bowmasters,GAME,4.7,1536349,50000000,Free,Teen,14.244920031315896,17.72753358339242,0.925,0.7837969906515685,0.8554411125167106,0.85475
Lust in Terror Manor - The Truth Unveiled | Otome,GAME,4.1,355,10000,Free,Teen,5.87493073085203,9.210440366976515,0.7749999999999999,0.3232558004541406,0.4444492696759823,0.51424
EC MANAGER,VIDEO_PLAYERS,4.1,2,100,Free,Everyone,1.0986122886681098,4.61512051684126,0.7749999999999999,0.060448848000402,0.2227023748539915,0.35272
